,U Bar of 0.1,U Bar of 0.22,U Bar of 0.33999999999999997,U Bar of 0.45999999999999996,U Bar of 0.58,U Bar of 0.7,A of 0.1,A of 0.22,A of 0.33999999999999997,A of 0.45999999999999996,A of 0.58,A of 0.7,B of 0.1,B of 0.22,B of 0.33999999999999997,B of 0.45999999999999996,B of 0.58,B of 0.7
5.888223552894211,0.320388255487026,0.30470832286844074,0.2837795659523192,0.25528103645602895,0.21462223233459515,0.14656025812641196,-0.008331215370433803,-0.018642380197356385,-0.02931574739472194,-0.04038565375650115,-0.05192860479959166,-0.06427639747800955,0.0071916847678702624,0.016508506923768516,0.026644976182106272,0.03768597501986388,0.04975031186401657,0.06322486773254771
5.9880239520958085,0.3120861278229926,0.2958846073705728,0.27452132006418356,0.2457795824568174,0.2053002503725003,0.1386373977986055,-0.00820940163312292,-0.01835957619756724,-0.028854215219412727,-0.03972587435544447,-0.051048836495820316,-0.0631482261330232,0.007154582771062222,0.016395458846195164,0.026412752625112088,0.03727938654765477,0.04909829585086453,0.06222618955179156
6.087824351297405,0.30382588704349117,0.2871557199975932,0.26542171769619366,0.23651171080445277,0.19629433132566254,0.13109739885622668,-0.008090273093389694,-0.01808354333602291,-0.028404691536166968,-0.039084755135820166,-0.050196112378520126,-0.0620577771555688,0.007114457542511985,0.016276744831930676,0.02617411480553042,0.036868876479926455,0.04845029902161614,0.06124953593046624
6.187624750499002,0.29562111915346495,0.27853376048788053,0.2564901438722357,0.2274822549679957,0.1876020239249828,0.12392632831493933,-0.007973788744004449,-0.017814143958298306,-0.02796686668585931,-0.03846170377638678,-0.04936939558598478,-0.061003315083093736,0.007071589996543077,0.016153017016388292,0.02593007900565614,0.036455713730553015,0.04780749981793602,0.06029503587278012
6.287425149700598,0.2874842940149075,0.2700295880138388,0.2477346689188857,0.2186947806032263,0.17921991979328633,0.11711023363895245,-0.007859905104831064,-0.017551236715614604,-0.02754043012223895,-0.03785613784103339,-0.04856768498319769,-0.05998319635126039,0.007026247357350012,0.016024887944059533,0.02568158456126692,0.036041044440575404,0.04717091601011887,0.05936269536328996
6.387225548902196,0.27942680953689586,0.26165288642113765,0.2391621388171825,0.21015170109738987,0.17114378125972135,0.11063522474270308,-0.0077485766037804805,-0.017294677460091248,-0.027125071755509645,-0.03726748615939227,-0.047790015329346125,-0.05899586469099436,0.006978683085965834,0.015892931289872,0.02542949698524185,0.03562589985908347,0.04654141968063195,0.05845241638898667
6.487025948103793,0.2714590370732569,0.2534122291898841,0.2307782627188431,0.20185438640992356,0.1633686577907584,0.10448754333476858,-0.007639755927818738,-0.01704432005324528,-0.026720483128242198,-0.03669518995178945,-0.04703545717372988,-0.0580398466247981,0.006929136914833536,0.01575768279199785,0.025174611289865628,0.03521120411722971,0.04591975124793593,0.057564013674848404
6.586826347305389,0.2635903675992403,0.24531514368728122,0.22258769731267514,0.19380326523787744,0.15588899174624407,0.098653621105631,-0.007533394345251365,-0.016800017092973307,-0.026326358437537247,-0.03613870372738219,-0.04630311652601922,-0.05711374709011831,0.006877834975902742,0.0156196413580744,0.02491765544356775,0.034797781824162356,0.045306532526914585,0.056697229360454765
6.686626746506986,0.2558292582854631,0.23736817434603394,0.2145941278051138,0.18599792060332226,0.14869871416907587,0.0931201281045382,-0.007429442000588042,-0.01656162056426399,-0.02594239541677649,-0.03559749598201449,-0.045592134341083494,-0.05621624521012025,0.006824990009124154,0.015479270310463205,0.024659293906555663,0.03438636542874546,0.044702278837580156,0.055851745829831545
6.786427145708583,0.24818327913163657,0.22957694446176852,0.20680034534667885,0.17843717901460948,0.14179133130633104,0.08787401250772665,-0.007327848183348374,-0.01632898241883978,-0.025568296089650666,-0.035071049720063266,-0.04490168585343151,-0.05534609022613778,0.006770801639191346,0.015336998739726477,0.02440013119782539,0.033977602304046915,0.04410741018559293,0.05502719689070843
